ball_initial_pos_x,ball_initial_pos_y,ball_initial_pos_z,distance_ball_robot,estimated_initial_velocity_x,estimated_initial_velocity_y,estimated_initial_velocity_z,estimated_hitting_point_y,estimated_hitting_point_z,real_hitting_point_y,real_hitting_point_z,delta_y,delta_z,
-1.0264707516644747,0.1581833285480712,2.350172732988682,2.7264707516644746,5.182898755090406,-0.32193551014607413,-0.21240277030489807,-0.011171272769071844,1.4789484257646008,-0.14576716627214967,0.2387497987577299,-0.13459589350307782,-1.240198627006871,
-1.7537303082074556,0.10161376762828461,1.6749153887230566,3.4537303082074553,4.62552387379672,0.06931744736930034,-0.5558052914183342,0.1533708821517084,1.5482478643648376,0.0634749888054014,0.8583570170120197,-0.08989589334630702,-0.6898908473528179,
-1.5209752951978661,0.19044093504650544,1.558349080462061,3.2209752951978663,7.137589467902803,-0.032123143622488914,-2.8487629032348316,0.17594474519453696,1.9591012762660547,0.16383250030499968,1.2478783719086872,-0.012112244889537271,-0.7112229043573675,
-1.5410767041210482,0.4905147549283408,2.2882888242881827,3.241076704121048,4.892937559368455,0.11467888679932425,0.6783624399423971,0.5664779291871594,1.6785470679183985,0.5488003124937693,1.7008281143272428,-0.017677616693390186,0.02228104640884432,
-1.2649126381060753,-0.22844242876455828,2.075894777958884,2.9649126381060755,6.802156011325202,-0.20553310124414637,-0.8820726157541259,-0.3180298608101199,1.5536417823915876,-0.3238184584531881,1.5444056088883056,-0.005788597643068161,-0.009236173503281986,
-1.8287452028127533,0.4182467847812507,1.9550692635721527,3.528745202812753,5.0868621650310075,-0.008688191989807414,-1.6123733031721166,0.4122198049240203,2.0874723859921076,0.36236605779243897,1.1889229619797093,-0.04985374713158136,-0.8985494240123983,
-1.7453691550608472,-0.3029886717780617,2.110680973115922,3.445369155060847,4.481029104073624,-0.4674023638887226,0.512314950519901,-0.6623645316850568,2.0109694929575506,-0.6942181724288389,1.0236371516573268,-0.03185364074378205,-0.9873323413002237,
-1.6208711163250757,0.0766945429607831,1.8796829198842726,3.3208711163250757,6.356979563690288,0.04378737490484452,-0.3373794263617391,0.09956896423653476,1.706303922972503,0.09208382353242132,1.4520674365018276,-0.0074851407041134355,-0.2542364864706754,
-1.8183566545413254,-0.3613141487682187,2.361424159500326,3.5183566545413254,5.610136151090863,-0.47564387965490784,-2.6937405675743875,-0.6596107968540762,2.502682548998866,-0.7054030148993212,1.2435573837628322,-0.045792218045245026,-1.2591251652360338,
-1.8486022884854625,0.19757362424469044,2.4615380673969485,3.5486022884854624,5.303537076424316,0.4849412124743524,-0.6262610022422166,0.5220483043628166,2.069983022076976,0.49298483837237655,1.6316068445900318,-0.02906346599044002,-0.43837617748694413,
-1.1952763371579922,0.20107396245358827,2.144257718307916,2.895276337157992,5.390461367314732,0.11880019157450183,-1.2074099646968506,0.264882857477139,1.908522894417798,0.24820257691794942,1.5681692523739197,-0.016680280559189603,-0.3403536420438784,
-1.2111249425221853,-0.08089618525334946,2.495506708385075,2.9111249425221852,5.686114001998188,-0.13926963774855028,-2.775612676252912,-0.15219818799957635,2.1852248956623885,-0.18297866738514,1.8760601127922152,-0.030780479385563636,-0.30916478287017335,
-1.0803555107181557,0.16359926164369037,1.6155704207478019,2.780355510718156,5.624802148493835,0.3463067451328694,-3.0200766167840243,0.33477965907097895,2.0707607924838736,0.3145144173054345,0.9941477429702702,-0.02026524176554445,-1.0766130495136035,
-1.0733635569038327,-0.24599780440835134,2.0832553232530224,2.7733635569038326,6.417941348966902,0.20139422810532492,-0.7961683203038206,-0.15896998934612833,1.5113283846597874,-0.16424643911679843,1.522966223922063,-0.0052764497706701,0.011637839262275573,
-1.0835017855429545,-0.40850381632151894,1.865767661630098,2.7835017855429545,5.25093902692733,-0.3572125371908941,-1.688949475387993,-0.5978607541930703,1.950524887873692,-0.613370597976322,1.1210154606893536,-0.015509843783251709,-0.8295094271843384,
-1.6467507476243728,0.046897015461492,1.7236741540859117,3.3467507476243727,4.144148113132822,0.0015986865669814776,-0.22186557050037692,0.04818809032590306,1.5764117222733278,-0.03321494683266495,0.8438081722227323,-0.081403037158568,-0.7326035500505955,
-1.7747398480956995,0.37215179273240867,1.8482996798171911,3.4747398480956995,5.433215991689835,-0.19668539202588597,-1.6150525099487645,0.24636430880834145,1.9812232252901971,0.2231618715776857,1.2511970329331183,-0.023202437230655765,-0.7300261923570788,
-1.7584579547065082,-0.09051532193868245,1.7988705083994179,3.458457954706508,6.562630073955713,0.4278377100124109,-1.5026485457458882,0.13495201582700614,1.880181532583703,0.1242052936591985,1.268311404618315,-0.010746722167807643,-0.611870127965388,
-1.16053042806649,0.18076437744059431,1.6640357717088485,2.86053042806649,4.299050664836113,0.24308699923865973,0.819774277365326,0.3425111937033587,1.6829191718441663,0.3305472497648398,1.0644377635004734,-0.011963943938518906,-0.6184814083436929,
-1.9213976884936659,0.35397391412770435,1.6151570363547716,3.6213976884936656,7.101072263608188,0.06468060186757718,-0.4901045595321918,0.38695966239195373,1.6227956699254587,0.3817219744414429,1.2794058139609454,-0.005237687950510828,-0.3433898559645132,
-1.494838905128627,0.11176459912732578,1.935631164829811,3.194838905128627,5.710079444301481,0.16440282773018122,-2.5359443643319146,0.20374940516530823,2.2005307071421347,0.17873688852131436,1.134605299918054,-0.02501251664399387,-1.0659254072240807,
-1.765395582759396,-0.1002661741114958,2.176424559383698,3.465395582759396,6.397695907511185,0.0026890128308698635,-1.5451086747243892,-0.0988096351761051,1.998032796999152,-0.1143391409295004,1.56230218665037,-0.015529505753395303,-0.43573061034878213,
-1.9564704412123273,-0.25235326684943454,1.658086131832492,3.6564704412123272,6.108724096438962,0.15593872215226678,-0.7944312128423192,-0.15901375450796687,1.6794668968124828,-0.16760916848580779,1.2587576457185912,-0.008595413977840916,-0.4207092510938917,
